team_id,wins,losses,points_for,points_against
ARI,8,9,400,379
ATL,8,9,389,423
BAL,12,5,518,361
BUF,13,4,525,368
CAR,5,12,341,534
CHI,5,12,310,370
CIN,9,8,472,434
CLE,3,14,258,435
DAL,7,10,350,468
DEN,10,7,425,311
DET,15,2,564,342
GB,11,6,460,338
HOU,10,7,372,372
IND,8,9,377,427
JAX,4,13,320,435
KC,15,2,385,326
LAC,11,6,402,301
LAR,10,7,367,386
LV,4,13,309,434
MIA,8,9,345,364
MIN,14,3,432,332
NE,4,13,289,417
NO,5,12,338,398
NYG,3,14,273,415
NYJ,5,12,338,404
PHI,14,3,463,303
PIT,10,7,380,347
SEA,10,7,375,368
SF,6,11,389,436
TB,10,7,502,385
TEN,3,14,311,460
WAS,12,5,485,391
